date;x;y;z
1573728348287;-2.318323638;19.07488405;4.015932268
1573728348297;0.627649382;17.09865236;3.335328822
1573728348307;6.447401011;5.496498484;-0.013242765
1573728348317;1.878822298;-15.21610087;1.383788884
1573728348327;0.721590401;-14.80841794;3.987734652
1573728348337;0.730501271;-12.42900421;4.370050316
1573728348346;0.231974488;-8.947215476;3.557331757
1573728348357;-0.381367363;-3.235112316;1.543419803
1573728348366;0.154592836;0.03212461;1.096829577
1573728348377;0.476100798;2.87575729;0.479068505
1573728348387;1.407514378;4.430487881;0.061474218
1573728348397;1.922801816;5.33716832;-1.375849522
1573728348407;0.266441411;4.33102616;-2.157959109
1573728348417;0.213153129;2.422864599;-3.641728596
1573728348427;-2.419046016;-2.015014138;-4.767452873
1573728348437;-1.031186272;-2.807197162;-3.093786174
1573728348447;0.125070199;-2.843350274;-1.356457944
1573728348457;0.559742868;-2.473877989;-0.135147186
1573728348467;-0.073183966;-1.764581746;1.117713521
1573728348477;-0.1964532;-1.059238868;1.277243146
1573728348487;-0.080548084;-0.28044392;1.236314971
1573728348497;0.073467559;0.419205655;0.912437501
1573728348507;-0.339621133;1.837007896;0.377523472
1573728348517;-0.271696907;1.730095971;-0.127022131
1573728348527;-0.784304485;1.491336909;-0.454044189
1573728348537;-0.627443588;0.503539345;0.09645136
1573728348547;0.019023414;-0.27137583;0.39894177
1573728348557;0.214416333;-0.784047838;0.518350994
1573728348567;0.03362704;-0.841758534;0.583232622
1573728348577;0.026901632;-0.428240812;1.294022163
1573728348587;0.082812857;-0.005488615;1.464258639
1573728348597;0.112218961;0.256098;1.355281614
1573728348607;0.319618547;0.373430036;0.62453863
1573728348617;0.562152691;0.130192393;0.131881499
1573728348627;0.817471462;-0.156334977;-0.093692379
1573728348637;0.80720612;-0.354911885;-0.044308151
1573728348647;0.538504669;-0.299252384;0.133105306
1573728348657;0.400157888;-0.270047659;-0.10803621
1573728348667;0.182220331;-0.323298259;-0.392886774
1573728348677;-0.022775562;-0.273961483;-0.513506997
1573728348687;-0.554521585;0.133257724;0.110172662
1573728348697;-0.550877519;0.351772195;0.210721328
1573728348707;-0.593930918;0.618521027;0.076639616
1573728348717;-0.81224834;0.939180988;-0.827415924
1573728348727;-0.680444448;0.582793155;-1.029682097
1573728348737;-0.467741107;0.098484737;-0.793099925
1573728348747;-0.312901325;-0.304284109;-0.373990763
1573728348757;-0.342258408;-0.258750164;0.053233823
1573728348767;-0.31977539;-0.099739999;-0.018704445
1573728348777;-0.2864661;0.012145257;-0.045609308
1573728348787;-0.244495768;0.009716205;0.009481181
1573728348797;-0.210919514;-0.099487168;0.620500556
1573728348807;-0.245350063;-0.17152699;0.726243776
1573728348817;-0.134988475;-0.229158848;0.672932467
1573728348827;-0.261219706;-0.168004202;0.400439899
1573728348837;-0.224298641;-0.088434734;0.243737539
1573728348847;-0.210084713;0.051835221;0.041761081
1573728348857;-0.260005121;0.210019812;-0.380309168
1573728348867;0.159745308;0.336567486;-0.38086181
1573728348877;0.403608276;0.284576864;0.216288812
1573728348887;0.537407099;0.242984368;0.648040587
1573728348897;0.613800382;0.470200025;0.763598866
1573728348907;0.751529435;2.49071843;0.35038982
1573728348917;0.40202597;2.911948829;0.341603551
1573728348927;0.153068949;2.452142071;0.641032245
1573728348937;-0.383200219;0.643944797;0.512825796
1573728348947;-0.153331266;-0.41954036;0.195739992
1573728348957;-0.168633685;-1.02516247;0.125946242
1573728348967;-0.134906948;-1.433045778;0.177371564
1573728348977;0.995322546;-1.7746753;-0.302466724
1573728348987;1.240621917;-1.358447973;-0.640368441
1573728348997;1.39089269;-0.841592363;-0.818752558
1573728349007;1.66433826;-0.611982387;-0.900168348
1573728349017;1.040335583;-0.642814669;-0.612874452
1573728349026;0.418550433;-0.621511867;-0.10722728
1573728349037;0.181611396;-0.543178122;0.312613333
1573728349047;0.957402497;-0.863583788;0.342028113
1573728349057;0.673984551;-0.966678798;-0.431230568
1573728349067;0.186761112;-0.834634542;-0.957900065
1573728349077;-0.034465813;-0.437864494;-0.781642976
1573728349087;-0.655811137;0.201332703;-0.410793879
1573728349098;-0.81578384;-0.084100616;-0.527832681
1573728349107;-0.790533051;-0.251155005;-0.606140848
1573728349117;-0.678395116;0.320054542;-0.622818705
1573728349127;-0.481424541;0.746375665;-0.574869415
1573728349137;-0.308525158;1.133401954;-0.429249756
1573728349148;-0.262143002;1.320439978;-0.159525103
1573728349157;-0.500849332;1.362809502;0.34738955
1573728349167;-0.47729394;0.90637309;0.385171867
1573728349177;-0.305220677;0.495254569;-0.151549262
1573728349187;-0.136916314;0.105069012;-0.688186358
1573728349197;0.242893382;-0.559506345;-0.688455101
1573728349207;0.316897904;-0.800031223;-0.581409857
1573728349217;0.238195447;-0.915837509;-0.419159222
1573728349227;-0.575588228;-1.223002038;-0.810336974
1573728349237;-0.966125978;-1.208245533;-0.786175606
1573728349247;-1.37049353;-1.165793814;-0.337805555
1573728349257;-1.755279111;-1.147155315;-0.300890244
1573728349267;-1.741326942;-1.086276269;-0.225389319
1573728349277;-1.653550636;-0.853697758;0.064854823
1573728349287;-1.491392335;-0.606343827;-0.239251095
1573728349297;-1.285051124;-0.163294666;-1.141420045
1573728349307;-1.227238477;-0.268541616;-0.913136036
1573728349317;-1.211634303;-0.276124797;-0.853091932
1573728349327;-0.877369996;-0.420097225;-0.835702496
1573728349337;-0.088980385;-0.657858557;-0.561301865
1573728349347;0.219950526;-0.664193111;-0.20387519
1573728349357;0.666293024;-0.79184338;-0.055839925
1573728349367;0.870137977;-1.031869861;-0.182577919
1573728349377;0.941276683;-1.269859674;-0.130739459
1573728349387;0.507855045;-1.061856748;-0.227174671
1573728349397;-0.206631575;-0.680933382;-0.886592794
1573728349407;-0.854835347;-0.483455201;-2.256886235
1573728349417;-0.7911286;-0.601284806;-1.698248475
1573728349427;-0.924037714;-0.818131116;-0.944880747
1573728349437;-0.43277227;-1.037577174;-0.449446887
1573728349447;0.404603774;1.376434309;-1.999106956
1573728349457;0.921275755;4.809286867;-2.595273266
1573728349467;0.108782021;10.74273131;-0.758450135
1573728349477;-4.096123721;16.025786;1.906194032
1573728349487;-0.273612234;19.10301558;13.15502973
1573728349497;7.67239897;1.032122548;7.719934426
1573728349507;9.156528414;-14.09879737;2.804911393
1573728349517;3.341271544;-17.11705927;2.979427924
1573728349526;1.952841301;-11.24198497;2.352896587
1573728349537;0.321118752;-5.454000099;1.437953485
1573728349547;-0.371343486;-0.486508738;1.441497813
1573728349557;1.817484385;8.160966579;2.026602944
1573728349567;2.465298085;8.444134286;1.023689429
1573728349577;0.868990254;7.506128352;0.711691412
1573728349587;0.296797046;5.483924898;-0.625832341
1573728349597;-3.026338013;-1.619432805;-2.661193484
1573728349607;-4.060619651;-4.543999766;-2.51202702
1573728349617;-4.121900605;-5.688466719;-1.641872259
1573728349627;-2.071689166;-3.876566451;-1.298174931
1573728349637;-0.554103213;-1.737516054;-2.632120572
1573728349647;0.031727037;-0.608545406;-3.699277085
1573728349657;0.347162335;-0.394899069;-3.64895185
1573728349667;0.063209414;-0.469148015;-0.482821768
1573728349677;0.065890407;-0.697098807;1.237969013
1573728349687;0.129326801;-0.726230682;2.078300549
1573728349697;-0.187673501;-0.964057208;2.704596768
1573728349707;-0.196107476;-0.863183022;2.209646424
1573728349717;0.180217636;-0.56796341;1.64513375
1573728349727;0.312725888;-0.071298065;0.902388967
1573728349737;-0.286120462;0.877657745;-0.30472247
1573728349748;-0.826489116;0.962615088;-0.948630939
1573728349757;-1.013617822;0.800737822;-1.295205887
1573728349767;-0.795571286;0.502684374;-0.74502978
1573728349777;0.405499515;0.141658608;1.717732642
1573728349787;0.692148993;-0.009256122;1.864518526
1573728349797;0.860177;-0.114665792;1.154511168
1573728349807;1.607515017;0.092142641;-0.838523329
1573728349818;1.60779279;0.226942872;-1.253088522
1573728349827;1.378171488;0.150908546;-0.971825066
1573728349837;0.964631307;0.044112457;-0.256481697
1573728349847;0.357987013;-0.102615918;0.760156782
1573728349857;0.163806412;-0.082092735;0.424250723
1573728349867;-0.267350028;-0.004382684;-0.028348826
1573728349877;-0.581629427;0.011816729;-0.221876639
1573728349887;-1.016927625;0.132036391;-0.223469939
1573728349897;-1.074031236;0.090306237;-0.30135915
1573728349907;-1.135037013;0.026276362;-0.394316175
1573728349916;-1.183841664;0.036343965;-0.775139696
1573728349927;-0.962396207;0.136335304;-0.696726232
1573728349937;-0.708625414;0.246974127;-0.496089387
1573728349947;-0.459640104;0.228225054;-0.10573658
1573728349957;0.046005982;-0.093231725;-0.115235111
1573728349967;0.251325255;-0.365720786;-0.138156717
1573728349977;0.446226458;-0.599034149;-0.003265146
1573728349987;0.418272718;-0.755039086;0.012710759
1573728349997;0.303972423;-0.895166676;-0.32693495
1573728350007;0.258500814;-0.44032081;0.642502485
1573728350017;0.206800651;0.50582517;2.184197186
1573728350027;0.701741657;4.603131968;4.352249335
1573728350037;0.300904243;5.107533803;3.098727187
1573728350047;-1.077045227;5.281212895;0.701526229
1573728350057;-2.470539733;3.964481424;-1.507369181
1573728350067;-1.164318596;-1.869645635;-0.700240056
1573728350077;-0.594351224;-2.384444077;0.558379046
1573728350087;0.106788832;-1.892232386;1.074941915
1573728350097;2.2612816;-0.609735463;-0.519106832
1573728350107;2.513878147;-0.135362223;-1.426596234
1573728350117;2.639341196;0.014293229;-2.29049383
1573728350126;2.663096873;0.011434583;-2.644508253
1573728350137;2.835330557;-0.251341225;-1.579305419
1573728350147;2.78924261;-1.212383557;-0.941663654
1573728350157;2.522529113;-2.27235283;-0.416227318
1573728350167;0.608317556;-2.599349701;-0.302336102
1573728350177;-2.194852017;-2.615780802;-0.364451985
1573728350187;-1.786527461;-2.567634178;-0.123009761
1573728350197;-1.582450824;-1.885555707;-0.006470458
1573728350207;-2.399854602;-0.114061326;-0.235019697
1573728350217;-2.057789684;-0.229154944;-0.540442286
1573728350227;-1.707523299;-0.244616222;-0.585582732
1573728350237;-1.503924666;-0.180369339;-0.529757761
1573728350247;-1.325722884;-0.006389587;-0.147994179
1573728350257;-1.014609631;0.14811709;-0.041780868
1573728350267;-0.612490127;0.24107668;0.089158457
1573728350277;-0.38273185;0.453350235;0.040680918
1573728350287;-0.490060159;1.036887494;0.017221858
1573728350297;-0.57592283;1.074676774;0.044423239
1573728350307;-0.613967166;0.921032923;-0.025752913
1573728350317;-0.537142456;0.476336684;-0.510934862
1573728350327;-0.445036841;0.212517711;-1.113600876
1573728350337;-0.080217419;-0.167089102;-1.810254166
1573728350347;0.150346567;-0.516743944;-1.754661043
1573728350357;-0.216826352;-0.612592543;-1.204531351
1573728350367;-0.878314044;-0.536042662;-0.657167275
1573728350377;-1.009109041;-0.413511254;-0.449119345
1573728350387;-1.634723298;-0.361454755;0.177005708
1573728350396;-1.598913664;-0.2278723;0.463385272
1573728350407;-1.171870608;-0.10568346;0.615874477
1573728350417;-0.906850735;-0.26842128;0.140273095
1573728350427;-0.878709538;-0.413934412;-0.378114009
1573728350437;-0.519092928;-0.315824653;-0.179908104
