date;x;y;z
1573588132334;-0.836504953;11.22236664;-3.261949708
1573588132341;-0.332100405;9.60613123;-3.835390607
1573588132351;1.036765419;6.505043534;-3.420739396
1573588132361;3.373012182;-1.277548578;-3.119663417
1573588132371;2.621795366;-3.795482466;-1.775554799
1573588132392;1.928884466;-7.98567949;0.065875893
1573588132392;1.543107573;-6.388543592;0.052700715
1573588132401;1.908693174;-0.820425786;1.022825779
1573588132421;-0.848093479;8.108353585;-2.706004285
1573588132422;-0.678474783;6.486682868;-2.164803428
1573588132431;-6.273541021;9.142651348;3.217451157
1573588132451;-2.689753379;-5.970824982;11.58382077
1573588132452;-2.151802703;-4.776659985;9.267056619
1573588132461;2.446384108;-10.4714625;7.459613923
1573588132471;5.695892649;-10.52237469;3.99103823
1573588132491;5.797868218;-2.855690432;-1.342745092
1573588132491;4.638294574;-2.284552346;-1.074196073
1573588132501;0.967838189;1.374842254;1.270524952
1573588132511;-0.696726878;3.766056894;2.242251232
1573588132521;0.36199201;3.778990077;3.540610373
1573588132531;0.151687534;4.172408523;3.828476381
1573588132541;-3.418237757;4.441175414;1.72968956
1573588132551;-4.95640932;3.706169091;0.678898781
1573588132561;-4.332876861;2.352019471;0.160046744
1573588132571;-3.021937704;1.023533759;-0.316326485
1573588132581;-0.946552639;-1.249762775;-0.253061188
1573588132591;0.100839802;-1.628048898;-1.887966953
1573588132601;0.83149348;-1.578251649;-0.897457927
1573588132611;1.569245372;-1.308569947;-0.120373607
1573588132621;1.040875843;0.638661925;-0.663245869
1573588132631;1.552876513;0.235117773;-0.45398222
1573588132641;1.119718012;0.004219707;-0.470446003
1573588132651;0.512702224;-0.349051145;0.09865283
1573588132661;-0.156785204;-0.401823924;0.124890892
1573588132671;-0.937541377;-0.581948031;-0.099284865
1573588132681;-1.546823391;-0.894599715;-0.5544375
1573588132691;-1.191490085;-2.293937142;0.046782532
1573588132701;-0.43221376;-2.35612826;0.175332052
1573588132711;-0.085281872;-2.344589269;-0.135546412
1573588132721;0.391461228;-2.028900175;-0.399572059
1573588132731;1.232542424;-1.163433479;0.369872439
1573588132741;0.940065311;-0.578320254;1.153979769
1573588132751;0.55285467;-0.064261046;1.153027336
1573588132761;0.227763186;0.546183707;-0.012274519
1573588132771;0.350762376;0.605498602;-0.454183496
1573588132781;0.295932776;0.637628404;-0.838356405
1573588132791;0.022225767;0.770591615;-1.09972608
1573588132801;-0.840301264;1.336649226;-0.159605002
1573588132811;-0.948053053;1.467714156;0.822335263
1573588132821;-1.018931572;1.404015227;1.040940396
1573588132831;-1.044988588;1.031274926;-0.638245136
1573588132841;-1.464229453;1.100831708;-1.307386447
1573588132851;-1.983496848;1.141154258;-0.984617582
1573588132861;-2.444879296;1.112121557;0.407491381
1573588132871;-2.921245386;0.996957378;2.838947435
1573588132881;-2.229736177;0.904826034;1.796148221
1573588132891;-1.416039537;0.785152331;0.08850406
1573588132901;-0.504593142;0.597476113;-1.109059299
1573588132911;0.62295913;0.523949518;-1.837266655
1573588132921;0.620950503;1.016752541;-0.673023023
1573588132931;-0.054863705;2.161815881;0.197080308
1573588132941;-0.335025989;2.556888771;-0.240730863
1573588132951;1.00377925;1.003554687;-0.836146125
1573588132961;0.603825822;-0.300404083;-0.6689169
1573588132971;0.89677869;-1.021790704;-0.060123912
1573588132981;1.835993971;-1.598900001;0.089806898
1573588132991;2.679303595;-0.86540235;-0.12735206
1573588133001;3.078139264;0.181082814;0.09731593
1573588133011;2.830260626;0.926333689;-0.014084607
1573588133021;1.360158055;1.507211513;0.908105731
1573588133031;0.597793936;1.28238359;1.339400292
1573588133041;0.616141128;1.102522015;1.24007206
1573588133051;0.140486373;1.326381015;0.685599747
1573588133061;-0.301328934;1.827249374;-0.263633392
